year_of_death;code;age;sex;disease;number_of_death
1979-2021;51;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3126
1979-2021;52;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;1149
1979-2021;53;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;1854
1979-2021;54;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3931
1979-2021;55;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;1362
1979-2021;56;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;4437
1979-2021;57;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;4526
1979-2021;58;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;2366
1979-2021;59;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;12112
1979-2021;60;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3413
1979-2021;61;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;2042
1979-2021;62;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;7207
1979-2021;63;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;4081
1979-2021;64;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;4276
1979-2021;65;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;1844
1979-2021;66;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3565
1979-2021;67;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;5047
1979-2021;68;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3748
1979-2021;69;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;8296
1979-2021;70;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;1574
1979-2021;71;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;5051
1979-2021;72;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3633
1979-2021;73;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;2546
1979-2021;74;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3213
1979-2021;75;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;11553
1979-2021;76;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;6751
1979-2021;77;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;5007
1979-2021;78;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;5323
1979-2021;79;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;2612
1979-2021;80;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3168
1979-2021;81;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3103
1979-2021;82;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;1574
1979-2021;83;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;6748
1979-2021;84;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3449
1979-2021;85;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3693
1979-2021;86;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;2928
1979-2021;87;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3208
1979-2021;88;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;2612
1979-2021;89;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;2813
1979-2021;90;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;730
1979-2021;91;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;4269
1979-2021;92;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;7024
1979-2021;93;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;4571
1979-2021;94;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;5675
1979-2021;95;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;3806
1979-2021;971;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;580
1979-2021;972;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;585
1979-2021;973;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;97
1979-2021;974;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;689
1979-2021;976;85-94;Tous sexes;17. Causes externes de morbidité et mortalité;11
1979-2021;01;95p;Tous sexes;17. Causes externes de morbidité et mortalité;600
1979-2021;02;95p;Tous sexes;17. Causes externes de morbidité et mortalité;428
1979-2021;03;95p;Tous sexes;17. Causes externes de morbidité et mortalité;667
1979-2021;04;95p;Tous sexes;17. Causes externes de morbidité et mortalité;250
1979-2021;05;95p;Tous sexes;17. Causes externes de morbidité et mortalité;189
1979-2021;06;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1920
1979-2021;07;95p;Tous sexes;17. Causes externes de morbidité et mortalité;534
1979-2021;08;95p;Tous sexes;17. Causes externes de morbidité et mortalité;299
1979-2021;09;95p;Tous sexes;17. Causes externes de morbidité et mortalité;278
1979-2021;10;95p;Tous sexes;17. Causes externes de morbidité et mortalité;353
1979-2021;11;95p;Tous sexes;17. Causes externes de morbidité et mortalité;518
1979-2021;12;95p;Tous sexes;17. Causes externes de morbidité et mortalité;495
1979-2021;13;95p;Tous sexes;17. Causes externes de morbidité et mortalité;2094
1979-2021;14;95p;Tous sexes;17. Causes externes de morbidité et mortalité;645
1979-2021;15;95p;Tous sexes;17. Causes externes de morbidité et mortalité;242
1979-2021;16;95p;Tous sexes;17. Causes externes de morbidité et mortalité;544
1979-2021;17;95p;Tous sexes;17. Causes externes de morbidité et mortalité;949
1979-2021;18;95p;Tous sexes;17. Causes externes de morbidité et mortalité;544
1979-2021;19;95p;Tous sexes;17. Causes externes de morbidité et mortalité;446
1979-2021;21;95p;Tous sexes;17. Causes externes de morbidité et mortalité;759
1979-2021;22;95p;Tous sexes;17. Causes externes de morbidité et mortalité;697
1979-2021;23;95p;Tous sexes;17. Causes externes de morbidité et mortalité;300
1979-2021;24;95p;Tous sexes;17. Causes externes de morbidité et mortalité;691
1979-2021;25;95p;Tous sexes;17. Causes externes de morbidité et mortalité;530
1979-2021;26;95p;Tous sexes;17. Causes externes de morbidité et mortalité;680
1979-2021;27;95p;Tous sexes;17. Causes externes de morbidité et mortalité;507
1979-2021;28;95p;Tous sexes;17. Causes externes de morbidité et mortalité;422
1979-2021;29;95p;Tous sexes;17. Causes externes de morbidité et mortalité;969
1979-2021;2A;95p;Tous sexes;17. Causes externes de morbidité et mortalité;163
1979-2021;2B;95p;Tous sexes;17. Causes externes de morbidité et mortalité;225
1979-2021;30;95p;Tous sexes;17. Causes externes de morbidité et mortalité;920
1979-2021;31;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1189
1979-2021;32;95p;Tous sexes;17. Causes externes de morbidité et mortalité;348
1979-2021;33;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1610
1979-2021;34;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1256
1979-2021;35;95p;Tous sexes;17. Causes externes de morbidité et mortalité;733
1979-2021;36;95p;Tous sexes;17. Causes externes de morbidité et mortalité;436
1979-2021;37;95p;Tous sexes;17. Causes externes de morbidité et mortalité;856
1979-2021;38;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1146
1979-2021;39;95p;Tous sexes;17. Causes externes de morbidité et mortalité;345
1979-2021;40;95p;Tous sexes;17. Causes externes de morbidité et mortalité;547
1979-2021;41;95p;Tous sexes;17. Causes externes de morbidité et mortalité;525
1979-2021;42;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1146
1979-2021;43;95p;Tous sexes;17. Causes externes de morbidité et mortalité;327
1979-2021;44;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1268
1979-2021;45;95p;Tous sexes;17. Causes externes de morbidité et mortalité;819
1979-2021;46;95p;Tous sexes;17. Causes externes de morbidité et mortalité;330
1979-2021;47;95p;Tous sexes;17. Causes externes de morbidité et mortalité;496
1979-2021;48;95p;Tous sexes;17. Causes externes de morbidité et mortalité;129
1979-2021;49;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1024
1979-2021;50;95p;Tous sexes;17. Causes externes de morbidité et mortalité;562
1979-2021;51;95p;Tous sexes;17. Causes externes de morbidité et mortalité;543
1979-2021;52;95p;Tous sexes;17. Causes externes de morbidité et mortalité;240
1979-2021;53;95p;Tous sexes;17. Causes externes de morbidité et mortalité;383
1979-2021;54;95p;Tous sexes;17. Causes externes de morbidité et mortalité;676
1979-2021;55;95p;Tous sexes;17. Causes externes de morbidité et mortalité;240
1979-2021;56;95p;Tous sexes;17. Causes externes de morbidité et mortalité;781
1979-2021;57;95p;Tous sexes;17. Causes externes de morbidité et mortalité;633
1979-2021;58;95p;Tous sexes;17. Causes externes de morbidité et mortalité;455
1979-2021;59;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1875
1979-2021;60;95p;Tous sexes;17. Causes externes de morbidité et mortalité;632
1979-2021;61;95p;Tous sexes;17. Causes externes de morbidité et mortalité;385
1979-2021;62;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1095
1979-2021;63;95p;Tous sexes;17. Causes externes de morbidité et mortalité;769
1979-2021;64;95p;Tous sexes;17. Causes externes de morbidité et mortalité;925
1979-2021;65;95p;Tous sexes;17. Causes externes de morbidité et mortalité;406
1979-2021;66;95p;Tous sexes;17. Causes externes de morbidité et mortalité;681
1979-2021;67;95p;Tous sexes;17. Causes externes de morbidité et mortalité;800
1979-2021;68;95p;Tous sexes;17. Causes externes de morbidité et mortalité;620
1979-2021;69;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1814
1979-2021;70;95p;Tous sexes;17. Causes externes de morbidité et mortalité;260
1979-2021;71;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1014
1979-2021;72;95p;Tous sexes;17. Causes externes de morbidité et mortalité;726
1979-2021;73;95p;Tous sexes;17. Causes externes de morbidité et mortalité;510
1979-2021;74;95p;Tous sexes;17. Causes externes de morbidité et mortalité;644
1979-2021;75;95p;Tous sexes;17. Causes externes de morbidité et mortalité;2691
1979-2021;76;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1230
1979-2021;77;95p;Tous sexes;17. Causes externes de morbidité et mortalité;916
1979-2021;78;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1173
1979-2021;79;95p;Tous sexes;17. Causes externes de morbidité et mortalité;537
1979-2021;80;95p;Tous sexes;17. Causes externes de morbidité et mortalité;514
1979-2021;81;95p;Tous sexes;17. Causes externes de morbidité et mortalité;613
1979-2021;82;95p;Tous sexes;17. Causes externes de morbidité et mortalité;318
1979-2021;83;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1382
1979-2021;84;95p;Tous sexes;17. Causes externes de morbidité et mortalité;628
1979-2021;85;95p;Tous sexes;17. Causes externes de morbidité et mortalité;731
1979-2021;86;95p;Tous sexes;17. Causes externes de morbidité et mortalité;671
1979-2021;87;95p;Tous sexes;17. Causes externes de morbidité et mortalité;615
1979-2021;88;95p;Tous sexes;17. Causes externes de morbidité et mortalité;473
1979-2021;89;95p;Tous sexes;17. Causes externes de morbidité et mortalité;555
1979-2021;90;95p;Tous sexes;17. Causes externes de morbidité et mortalité;131
1979-2021;91;95p;Tous sexes;17. Causes externes de morbidité et mortalité;853
1979-2021;92;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1609
1979-2021;93;95p;Tous sexes;17. Causes externes de morbidité et mortalité;831
1979-2021;94;95p;Tous sexes;17. Causes externes de morbidité et mortalité;1188
1979-2021;95;95p;Tous sexes;17. Causes externes de morbidité et mortalité;718
1979-2021;971;95p;Tous sexes;17. Causes externes de morbidité et mortalité;179
1979-2021;972;95p;Tous sexes;17. Causes externes de morbidité et mortalité;183
1979-2021;973;95p;Tous sexes;17. Causes externes de morbidité et mortalité;17
1979-2021;974;95p;Tous sexes;17. Causes externes de morbidité et mortalité;140
1979-2021;976;95p;Tous sexes;17. Causes externes de morbidité et mortalité;6
1979-2021;01;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;02;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;03;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;04;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;05;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;06;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;07;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;08;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;09;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;10;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;11;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;12;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;13;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;14;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;15;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;16;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;17;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;18;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;19;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;21;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;22;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;23;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;24;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;25;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;26;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;27;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;28;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;29;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;2A;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;2B;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;30;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;31;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;32;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;33;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;34;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;35;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;36;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;37;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;38;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;39;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;40;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;41;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;42;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;43;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;44;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;45;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;46;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;47;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;48;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;49;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;50;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;51;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;52;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;53;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;54;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;55;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;56;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;57;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;58;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;59;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;3
1979-2021;60;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;61;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;62;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;63;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;64;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;65;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;66;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;67;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;68;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;69;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;70;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;71;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;72;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;73;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;74;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;75;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;76;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;77;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;78;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;79;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;80;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;81;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;82;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;83;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;84;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;85;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;86;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;87;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;88;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;89;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;90;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;91;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;92;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;93;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;94;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;95;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;971;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;972;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;973;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;2
1979-2021;974;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;976;< 1;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;01;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;2
1979-2021;02;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;03;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;04;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;05;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;06;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;07;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;08;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;09;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;10;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;11;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;12;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;13;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;3
1979-2021;14;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;15;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;16;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;17;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;18;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;19;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;21;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;22;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;23;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;24;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;25;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;26;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;27;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;28;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;29;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;2A;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;2B;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;30;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;31;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;32;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;33;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;34;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;35;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;36;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;37;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;38;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;2
1979-2021;39;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;40;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;41;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;42;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;43;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;44;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;45;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;46;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;47;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;48;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;49;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;50;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;51;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;52;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;53;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;54;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;55;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;56;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;57;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;58;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;59;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;4
1979-2021;60;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;61;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;62;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;4
1979-2021;63;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;64;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;65;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;66;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;67;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;68;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;2
1979-2021;69;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;3
1979-2021;70;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;71;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;72;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;73;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;74;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;75;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;2
1979-2021;76;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;3
1979-2021;77;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;3
1979-2021;78;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;79;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;80;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;81;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;82;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;83;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;84;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;85;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;86;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;87;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;88;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;89;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;1
1979-2021;90;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;0
1979-2021;91;1-24;Tous sexes;18. Covid-19 : U071-U072,U109,U129;3
